Program Name,Age,Location,Day,Time,"Start Date","# of Classes","Course Code",Fee
Acrobatics,6 - 10 yrs,Rouge River C.C.,Tue.,6:30 p.m. - 7:30 p.m.,Jan. 12,8,275133,$46
"","",Thornhill C.C.,Tue.,5:30 p.m. - 6:30 p.m.,Jan. 5,10,274495,$65
"","",Thornhill C.C.,Sat.,1:00 p.m. - 2:00 p.m.,Jan. 9,10,274496,$65
All About the Games,6 - 10 yrs,Mount Joy C.C.,Wed.,4:30 p.m. - 6:00 p.m.,Jan. 6,10,273551,$97
Archery,6 - 10 yrs,Angus Glen C.C.,Sat.,11:30 a.m. - 12:30 p.m.,Jan. 9,8,274055,$89.50
"","",Armadale C.C.,Fri.,7:00 p.m. - 8:00 p.m.,Jan. 8,5,271303,$56.50
"","",Armadale C.C.,Sat.,9:30 a.m. - 10:30 a.m.,Jan. 9,5,271305,$56.50
"","",Armadale C.C.,Sat.,9:30 a.m. - 10:30 a.m.,Feb. 13,5,271306,$56.50
"",6 - 12 yrs,Armadale C.C.,Fri.,9:30 a.m. - 11:30 a.m.,Jan. 15,1,271304,$28
"","",Armadale C.C.,Fri.,9:30 a.m. - 11:30 a.m.,Jun. 3,1,271315,$28
Archery - Children/Pre-Teen,6 - 15 yrs,Thornhill C.C.,Thu.,5:00 p.m. - 6:00 p.m.,Jan. 7,10,274509,$112
"","",Thornhill C.C.,Thu.,6:00 p.m. - 7:00 p.m.,Jan. 7,10,274510,$112
ART - Elements of Art & Design,7 - 10 yrs,Varley Art Gallery,Sat.,10:00 a.m. - 12:00 p.m.,Jan. 9,10,274192,$165
ART - Mixed Media for Mini Artists,4 - 6 yrs,Varley Art Gallery,Sun.,1:00 p.m. - 3:00 p.m.,Jan. 10,10,274194,$165
ART - Sculpture & Design Fundamentals,8 - 12 yrs,Varley Art Gallery,Sat.,1:00 p.m. - 3:00 p.m.,Jan. 9,10,274193,$165
ART - Start with Art!,4 - 5 yrs,McKay Art Centre,Sat.,10:00 a.m. - 12:00 p.m.,Jan. 9,10,274190,$165
