Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
123 Fit Club ,2 - 3 yrs ,Markham Village C.C. ,Mon. ,11:30 a.m. - 12:30 p.m. ,Jan. 4 ,9 ,273496 ,$59
"","",Markham Village C.C. ,Wed. ,11:30 a.m. - 12:30 p.m. ,Jan. 6 ,10 ,273497 ,$65
"",2 - 4 yrs ,Cornell C.C. ,Wed. ,1:00 p.m. - 2:30 p.m. ,Jan. 6 ,10 ,273481 ,$97
ABC - Fit Club ,2 - 4 yrs ,Cornell C.C. ,Tue. ,1:00 p.m. - 2:30 p.m. ,Jan. 5 ,10 ,273482 ,$97
"","",Cornell C.C. ,Thu. ,10:00 a.m. - 11:30 a.m. ,Jan. 7 ,10 ,273483 ,$97
Adventures in Math & Science ,4 - 6 yrs ,Markham Village Library ,Sun. ,3:15 p.m. - 4:15 p.m. ,Jan. 17 ,8 ,273131 ,$52
Alphabet Adventures ,2 - 4 yrs ,Markham Village C.C. ,Mon. ,9:30 a.m. - 11:00 a.m. ,Jan. 4 ,9 ,273498 ,$87.50
"","",Markham Village C.C. ,Tue. ,9:30 a.m. - 11:00 a.m. ,Jan. 5 ,10 ,273499 ,$97
"","",Markham Village C.C. ,Wed. ,9:30 a.m. - 11:00 a.m. ,Jan. 6 ,10 ,273500 ,$97
"","",Thornhill C.C. ,Wed. ,9:30 a.m. - 11:00 a.m. ,Jan. 6 ,10 ,274497 ,$97
Baby Jumpstart ,3 - 13 mths ,Angus Glen Library ,Tue. ,12:30 p.m. - 1:30 p.m. ,Jan. 12 ,8 ,272950 ,$52
"","",Cornell Library ,Fri. ,9:45 a.m. - 10:45 a.m. ,Jan. 15 ,8 ,272949 ,$52
"","",Markham Village Library ,Thu. ,9:45 a.m. - 10:45 a.m. ,Jan. 14 ,8 ,272952 ,$52
"","",Unionville Library ,Tue. ,9:45 a.m. - 10:45 a.m. ,Jan. 12 ,8 ,272951 ,$52
Baby Massage ,1 - 6 mths ,Cornell C.C. ,Mon. ,1:30 p.m. - 2:30 p.m. ,Jan. 4 ,8 ,273484 ,$50
"","",Cornell C.C. ,Tue. ,11:45 a.m. - 12:45 p.m. ,Jan. 5 ,8 ,273485 ,$50
"","",Cornell C.C. ,Thu. ,1:00 p.m. - 2:00 p.m. ,Jan. 7 ,8 ,275982 ,$50
Babygym ,4 - 8 mths ,Old Unionville Lib. C.C. ,Wed. ,1:15 p.m. - 2:00 p.m. ,Jan. 6 ,10 ,273951 ,$64
"",7 - 10 mths ,Cornell C.C. ,Mon. ,12:00 p.m. - 12:45 p.m. ,Jan. 4 ,9 ,273502 ,$57.50
"","",Cornell C.C. ,Wed. ,11:00 a.m. - 11:45 a.m. ,Jan. 6 ,10 ,273501 ,$64
"","",Old Unionville Lib. C.C. ,Mon. ,10:30 a.m. - 11:15 a.m. ,Jan. 4 ,9 ,273950 ,$57.50
"",10 - 14 mths ,Old Unionville Lib. C.C. ,Mon. ,9:45 a.m. - 10:30 a.m. ,Jan. 4 ,9 ,273949 ,$57.50
Ballet ,3 - 5 yrs ,Angus Glen C.C. ,Mon. ,1:05 p.m. - 1:50 p.m. ,Jan. 4 ,9 ,274179 ,$69
"","",Angus Glen C.C. ,Mon. ,2:05 p.m. - 2:50 p.m. ,Jan. 4 ,9 ,274174 ,$76
"","",Angus Glen C.C. ,Sun. ,8:30 a.m. - 9:15 a.m. ,Jan. 10 ,10 ,274173 ,$76
"","",Angus Glen C.C. ,Sun. ,9:15 a.m. - 10:00 a.m. ,Jan. 10 ,10 ,274175 ,$76
"","",Angus Glen C.C. ,Sun. ,10:30 a.m. - 11:15 a.m. ,Jan. 10 ,10 ,274178 ,$76
"","",Angus Glen C.C. ,Sun. ,12:00 p.m. - 12:45 p.m. ,Jan. 10 ,10 ,274176 ,$76
"","",Angus Glen C.C. ,Sun. ,1:15 p.m. - 2:00 p.m. ,Jan. 10 ,10 ,274172 ,$76
"","",Armadale C.C. ,Wed. ,5:45 p.m. - 6:45 p.m. ,Jan. 13 ,8 ,275158 ,$61
"","",Cornell C.C. ,Fri. ,11:00 a.m. - 11:45 a.m. ,Jan. 8 ,10 ,273493 ,$76
"","",Cornell C.C. ,Sat. ,2:15 p.m. - 3:00 p.m. ,Jan. 9 ,10 ,273503 ,$76
"","",Milliken Mills C.C. ,Tue. ,5:00 p.m. - 5:45 p.m. ,Jan. 12 ,9 ,272019 ,$69
"","",Milliken Mills C.C. ,Sat. ,10:15 a.m. - 11:00 a.m. ,Jan. 16 ,9 ,272018 ,$69
"","",Milliken Mills C.C. ,Sat. ,11:45 a.m. - 12:30 p.m. ,Jan. 16 ,9 ,272017 ,$69
"","",Rouge River C.C. ,Mon. ,5:45 p.m. - 6:45 p.m. ,Jan. 11 ,8 ,275161 ,$61
"","",Rouge River C.C. ,Sat. ,10:15 a.m. - 11:00 a.m. ,Jan. 16 ,8 ,275160 ,$54
"","",Thornhill C.C. ,Sat. ,10:00 a.m. - 11:00 a.m. ,Jan. 9 ,10 ,274523 ,$76
"","",Thornhill C.C. ,Sun. ,9:30 a.m. - 10:30 a.m. ,Jan. 10 ,10 ,274522 ,$76
"","",Un.Train Station C.C. ,Wed. ,5:30 p.m. - 6:15 p.m. ,Jan. 6 ,10 ,274177 ,$76
"","",Un.Train Station C.C. ,Sat. ,1:00 p.m. - 1:45 p.m. ,Jan. 9 ,10 ,274180 ,$64
Ballet - Intermediate ,3 - 5 yrs ,Angus Glen C.C. ,Sun. ,10:05 a.m. - 10:50 a.m. ,Jan. 10 ,9 ,274181 ,$114
"","",Angus Glen C.C. ,Sun. ,11:05 a.m. - 11:50 a.m. ,Jan. 10 ,9 ,274182 ,$76
"","",Angus Glen C.C. ,Sun. ,12:05 p.m. - 12:50 p.m. ,Jan. 10 ,9 ,274184 ,$69
"","",Milliken Mills C.C. ,Tue. ,5:50 p.m. - 6:35 p.m. ,Jan. 12 ,9 ,272022 ,$69
"","",Milliken Mills C.C. ,Sat. ,11:00 a.m. - 11:45 a.m. ,Jan. 16 ,9 ,272021 ,$69
"","",Rouge River C.C. ,Mon. ,6:30 p.m. - 7:15 p.m. ,Jan. 11 ,8 ,275164 ,$61
"","",Rouge River C.C. ,Sat. ,11:00 a.m. - 11:45 a.m. ,Jan. 16 ,8 ,275166 ,$61
"","",Thornhill C.C. ,Tue. ,4:30 p.m. - 5:30 p.m. ,Jan. 5 ,10 ,274524 ,$76
"","",Thornhill C.C. ,Sat. ,11:00 a.m. - 12:00 p.m. ,Jan. 9 ,10 ,274525 ,$76
"","",Thornhill C.C. ,Sun. ,10:30 a.m. - 11:30 a.m. ,Jan. 10 ,10 ,274527 ,$76
"","",Thornhill C.C. ,Sun. ,11:30 a.m. - 12:30 p.m. ,Jan. 10 ,10 ,274526 ,$76
"","",Un.Train Station C.C. ,Sat. ,2:00 p.m. - 2:45 p.m. ,Jan. 9 ,10 ,274183 ,$76
Bollywood / Hip Hop ,3 - 5 yrs ,Armadale C.C. ,Sat. ,9:00 a.m. - 9:45 a.m. ,Jan. 16 ,8 ,275174 ,$61
"",4 - 5 yrs ,Cornell C.C. ,Fri. ,4:00 p.m. - 5:00 p.m. ,Jan. 8 ,10 ,273585 ,$76
"","",Cornell C.C. ,Sun. ,2:00 p.m. - 3:00 p.m. ,Jan. 10 ,10 ,273586 ,$76
Chess ,4 - 6 yrs ,Thornhill C.C. ,Wed. ,5:30 p.m. - 6:15 p.m. ,Jan. 6 ,10 ,274545 ,$76
"",5 - 6 yrs ,Angus Glen C.C. ,Mon. ,4:15 p.m. - 5:00 p.m. ,Jan. 4 ,9 ,273974 ,$69
"","",Angus Glen C.C. ,Sun. ,10:00 a.m. - 10:45 a.m. ,Jan. 10 ,9 ,273975 ,$69
"","",Angus Glen C.C. ,Sun. ,11:00 a.m. - 11:45 a.m. ,Jan. 10 ,9 ,273976 ,$69
"","",Centennial C.C. ,Sun. ,10:00 a.m. - 11:00 a.m. ,Jan. 10 ,10 ,273563 ,$76
Combo Craze ,3 - 5 yrs ,Cornell C.C. ,Fri. ,5:15 p.m. - 6:00 p.m. ,Jan. 8 ,10 ,273591 ,$76
"","",Cornell C.C. ,Sat. ,9:00 a.m. - 9:45 a.m. ,Jan. 9 ,10 ,273593 ,$76
"","",Cornell C.C. ,Sat. ,9:45 a.m. - 10:30 a.m. ,Jan. 9 ,10 ,273504 ,$76
"","",Cornell C.C. ,Sun. ,3:15 p.m. - 4:00 p.m. ,Jan. 10 ,10 ,273592 ,$76
Cookie Monsters - Play & Cook ,4 - 6 yrs ,Cornell C.C. ,Sun. ,9:30 a.m. - 11:00 a.m. ,Jan. 10 ,10 ,273602 ,$97
