Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
Acrobatics,9 - 14 yrs,Rouge River C.C.,Tue.,7:30 p.m. - 8:30 p.m.,Jan. 12,8,275135,$46
Android Appwizard Beginner,9 - 16 yrs,Thornhill C.C.,Sat.,2:00 p.m. - 3:00 p.m.,Jan. 9,8,274498,$138
"",11 - 16 yrs,Milliken Mills C.C.,Tue.,8:30 p.m. - 9:30 p.m.,Jan. 12,8,273142,$138
"","",Milliken Mills C.C.,Sat.,2:00 p.m. - 3:00 p.m.,Jan. 16,8,273143,$138
"","",Milliken Mills C.C.,Sun.,12:00 p.m. - 1:00 p.m.,Jan. 17,8,273144,$138
Archery,11 - 15 yrs,Angus Glen C.C.,Sat.,12:30 p.m. - 1:30 p.m.,Jan. 9,8,274056,$89.50
"","",Armadale C.C.,Sat.,10:30 a.m. - 11:30 a.m.,Jan. 9,5,275142,$56.50
"","",Armadale C.C.,Fri.,7:00 p.m. - 8:00 p.m.,Feb. 12,5,275141,$56.50
"","",Armadale C.C.,Sat.,10:30 a.m. - 11:30 a.m.,Feb. 13,5,275143,$56.50
ART - Building your Portfolio for Pre-teens,11 - 14 yrs,McKay Art Centre,Wed.,4:00 p.m. - 6:30 p.m.,Jan. 20,8,274196,$165
ART - Drawing for Pre-Teens,8 - 12 yrs,McKay Art Centre,Tue.,4:00 p.m. - 6:30 p.m.,Jan. 19,8,274195,$165
Babysitting Course,11 - 14 yrs,Angus Glen C.C.,Sat.,9:00 a.m. - 4:00 p.m.,Feb. 6,1,274167,$45
"","",Armadale C.C.,Fri.,9:30 a.m. - 4:30 p.m.,Jan. 15,1,271359,$45
"","",Cornell C.C.,Sat.,9:00 a.m. - 4:00 p.m.,Jan. 2,1,273486,$45
"","",Cornell C.C.,Sat.,9:00 a.m. - 4:00 p.m.,Mar. 19,1,273487,$45
"","",Crosby C.C.,Tue.,9:00 a.m. - 4:00 p.m.,Mar. 15,1,274870,$45
